callSessionId,providerCallId,id,status,failureReason,requestedService,requestedStaff,requestedDateTimeText,appointmentId,availability_reason,normalized_date,normalized_time,fingerprint,createdAt,updatedAt
ac7dcda2-e25a-4264-8bfd-d1d859492aab,aac7cf9b-2b95-4b9a-bda4-656ee771b194,d5abf5f2-bc71-4171-8b23-7f49268e67a0,NO_AVAILABILITY,Salon is closed for the requested day.,Pedicure,Any staff,2026-07-17T15:00:00.000Z,,SALON_CLOSED,2026-07-17,11 AM,,2026-07-14 14:47:33.811,2026-07-14 14:48:27.026
ac7dcda2-e25a-4264-8bfd-d1d859492aab,aac7cf9b-2b95-4b9a-bda4-656ee771b194,cf86f40a-00b6-41c1-a0ce-90a15af45c34,NO_AVAILABILITY,Salon is closed for the requested day.,Pedicure,Any staff,2026-07-17T15:00:00.000Z,,SALON_CLOSED,2026-07-17,11 AM,,2026-07-14 14:48:40.009,2026-07-14 14:48:40.009
ac7dcda2-e25a-4264-8bfd-d1d859492aab,aac7cf9b-2b95-4b9a-bda4-656ee771b194,49e01662-13eb-48aa-82f2-aa0d7870fe5c,NO_AVAILABILITY,Salon is closed for the requested day.,Pedicure,Any staff,2026-07-17T15:00:00.000Z,,SALON_CLOSED,2026-07-17,11 AM,,2026-07-14 14:48:44.378,2026-07-14 14:48:44.378
ac7dcda2-e25a-4264-8bfd-d1d859492aab,aac7cf9b-2b95-4b9a-bda4-656ee771b194,51670987-0cec-43ba-be80-8e632aa4769e,NO_AVAILABILITY,Salon is closed for the requested day.,Pedicure,Any staff,2026-07-17T15:00:00.000Z,,SALON_CLOSED,2026-07-17,11 AM,,2026-07-14 14:48:55.754,2026-07-14 14:48:55.754
b0dfdced-9256-4b1f-a91a-57b43d5db6c1,f6c5beba-b17c-413c-b8a5-2b21a0e62932,6c71dbcb-731f-4237-95cb-1b936e53dd4c,NO_AVAILABILITY,Requested time is outside business hours.,Builder Gel Fill Update,Alex,2026-07-14T12:10:00.000Z,,OUTSIDE_BUSINESS_HOURS,2026-07-14,8:10 AM,,2026-07-14 14:56:02.484,2026-07-14 14:57:38.333
b0dfdced-9256-4b1f-a91a-57b43d5db6c1,f6c5beba-b17c-413c-b8a5-2b21a0e62932,3b7b2a81-89f9-4ed0-bb02-b3e1a1e2be7f,NO_AVAILABILITY,Requested time is outside business hours.,Builder Gel Fill Update,Alex,2026-07-14T12:10:00.000Z,,OUTSIDE_BUSINESS_HOURS,2026-07-14,8:10 AM,,2026-07-14 14:57:52.749,2026-07-14 14:57:52.749
b0dfdced-9256-4b1f-a91a-57b43d5db6c1,f6c5beba-b17c-413c-b8a5-2b21a0e62932,5bc11778-12dc-494b-b9f2-a8b090873426,NO_AVAILABILITY,Requested time is outside business hours.,Builder Gel Fill Update,Alex,2026-07-14T12:10:00.000Z,,OUTSIDE_BUSINESS_HOURS,2026-07-14,8:10 AM,,2026-07-14 14:58:07.972,2026-07-14 14:58:07.972
